Irms,Irms_voltage,P,Q,Ipeak,CF,max_di_dt
0.115,0.034503,2.15,24.96,0.303,2.643,3222.6
0.132,0.039803,1.86,28.55,0.304,2.298,3887
0.119,0.03568,2.9,25.83,0.361,3.048,3455.1
0.119,0.035923,8.99,24.17,0.51,4.271,3355.5
0.107,0.032279,12.09,20.59,0.458,4.274,2624.6
0.115,0.034625,10.26,23.5,0.472,4.107,3488.4
0.103,0.031146,8.81,20.52,0.443,4.285,2325.6
0.103,0.030939,11.18,19.35,0.514,5.001,3554.8
0.142,0.042675,10.95,28.14,0.601,4.238,3488.4
0.11,0.033042,8.38,22.89,0.455,4.143,2990
0.126,0.037969,9.82,24.95,0.478,3.786,3189.4
0.118,0.035459,8.39,24.48,0.447,3.792,2657.8
0.118,0.035452,11.11,23.79,0.488,4.14,2990
0.124,0.037344,12.5,24.14,0.532,4.284,3754.2
0.109,0.032932,13.09,19.67,0.478,4.366,3488.4
0.108,0.032508,8.89,21.39,0.428,3.96,2657.8
0.107,0.032287,13.49,19.38,0.483,4.507,3023.3
0.114,0.034239,13.15,22.19,0.496,4.361,3521.6
0.128,0.038498,12.99,25.35,0.488,3.816,3122.9
0.131,0.039368,12.53,25.81,0.517,3.954,3322.3
0.117,0.035327,13.32,22.18,0.529,4.51,3754.1
0.125,0.037529,12.55,24.47,0.508,4.071,4119.6
0.101,0.030535,8.46,21.13,0.424,4.184,2358.8
0.119,0.035677,9.12,23.8,0.489,4.128,2425.2
0.108,0.032397,10.01,20.87,0.429,3.982,2591.4
0.127,0.038292,8.36,26.25,0.494,3.887,3521.6
0.118,0.035609,11.65,23.4,0.445,3.764,2159.5
0.119,0.035718,13.39,21.83,0.459,3.868,2823.9
0.12,0.036131,13.7,22.88,0.388,3.236,3621.3
0.102,0.030731,11.03,19.84,0.479,4.692,3023.3
0.132,0.039653,12.69,25.65,0.547,4.151,3654.5
0.128,0.038548,9.69,26.35,0.494,3.856,3455.2
0.103,0.031086,11.68,19.53,0.476,4.61,2757.5
0.11,0.033113,13.08,20.89,0.454,4.13,2990
0.102,0.030657,11.65,19.36,0.45,4.416,3455.1
0.109,0.032909,10.24,21.07,0.524,4.795,2956.8
0.108,0.032482,7.07,22.88,0.448,4.154,2823.9
0.102,0.030687,10.35,20.09,0.484,4.745,2425.2
0.103,0.030914,10.53,19.53,0.46,4.483,2591.4
0.114,0.034201,12.04,20.89,0.54,4.752,3322.3
0.101,0.030506,10.19,19.99,0.427,4.21,2624.6
0.112,0.033791,9.41,22.12,0.49,4.365,3023.3
0.106,0.031976,8.4,22.08,0.414,3.894,2890.4
0.11,0.033057,8.5,22.59,0.469,4.274,2524.9
0.104,0.031311,8.52,21.39,0.427,4.104,3122.9
0.113,0.034153,8.23,23.16,0.47,4.141,3455.2
0.113,0.033878,7.56,23.13,0.447,3.968,3189.4
0.107,0.03218,8.12,22.63,0.48,4.488,2624.6
0.103,0.03096,8.83,20.42,0.458,4.453,2657.8
0.111,0.033529,8.63,22.37,0.461,4.142,2026.6
0.126,0.038003,11.22,24.87,0.516,4.087,3521.6
0.104,0.031379,7.88,21.47,0.43,4.129,2259.1
0.105,0.031539,9.43,20.75,0.413,3.943,2458.5
0.105,0.031595,8.22,21.39,0.44,4.188,3056.5
0.121,0.036394,11.5,24.28,0.469,3.878,3521.6
0.11,0.033124,10.54,22.41,0.463,4.206,3023.3
0.118,0.035551,8.96,24.51,0.487,4.119,4418.6
0.1,0.030056,9.44,19.39,0.409,4.095,2491.7
0.103,0.031107,8.06,21.23,0.455,4.4,2790.7
0.12,0.036065,9.03,24.63,0.384,3.208,2691
0.104,0.03121,9.82,20.91,0.405,3.911,3056.5
0.106,0.031933,11.25,20.49,0.556,5.242,2757.5
0.111,0.033453,9.52,22.9,0.429,3.858,3156.1
0.11,0.033115,7.37,23.34,0.471,4.28,2225.9
0.109,0.032801,9.7,22.14,0.484,4.442,2225.9
0.11,0.033172,11.84,20.35,0.436,3.953,2724.2
0.125,0.037693,12.72,24.17,0.477,3.81,3322.3
0.111,0.033334,7.41,22.8,0.451,4.071,2624.6
0.116,0.034823,8.91,23.19,0.479,4.143,3023.3
0.104,0.03142,10.62,20.82,0.456,4.368,3023.3
0.105,0.031743,8.93,21.46,0.435,4.124,2026.6
0.124,0.037254,14.89,22.23,0.376,3.041,2890.4
0.113,0.033988,9.17,24.2,0.454,4.023,2292.4
0.124,0.037298,10.96,25.02,0.434,3.505,2923.6
0.12,0.035997,8.01,24.16,0.447,3.736,3156.1
0.101,0.030432,10.2,19.71,0.449,4.439,2990
0.103,0.030897,11.11,19.11,0.451,4.394,3222.6
0.106,0.031916,11.36,20.32,0.493,4.652,2657.8
0.134,0.040439,11.42,26.73,0.586,4.362,2790.7
0.113,0.033977,8.32,23.18,0.459,4.066,2790.7
0.123,0.037026,12.17,23.47,0.509,4.141,2823.9
0.108,0.032557,9.61,21.87,0.438,4.05,2458.5
0.105,0.03159,9.54,21.14,0.438,4.178,3754.2
0.108,0.032486,9.34,21.5,0.43,3.981,2624.6
0.108,0.032397,11.01,20.37,0.455,4.224,2790.7
0.111,0.033261,8.53,22.68,0.474,4.289,2923.6
0.145,0.043535,9.68,30.59,0.555,3.839,2823.9
0.122,0.036619,13.82,22.73,0.545,4.481,3355.5
0.122,0.03681,9.28,24.42,0.569,4.654,2757.5
0.116,0.034959,7.9,24.66,0.472,4.064,2524.9
0.104,0.031352,11.7,19.51,0.499,4.79,2358.8
0.108,0.032359,7.71,21.77,0.429,3.989,2059.8
0.101,0.030265,8.72,20.63,0.469,4.663,2558.1
0.107,0.032243,9.27,21.17,0.454,4.234,2325.6
0.118,0.035449,9.06,24.61,0.47,3.991,2823.9
0.118,0.035421,10.87,23.5,0.523,4.444,3887
0.134,0.040267,13.29,27.02,0.602,4.499,2890.4
0.111,0.033559,8.79,22.7,0.463,4.154,2458.5
0.101,0.030363,9.22,19.35,0.448,4.442,3089.7
0.1,0.029967,9.57,18.81,0.423,4.253,2491.7
0.111,0.033384,8.84,21.84,0.469,4.227,2524.9
0.105,0.031706,7.3,22.32,0.45,4.277,2558.1
0.108,0.032523,7.92,22.4,0.417,3.857,2126.3
0.108,0.03247,11.26,20.2,0.487,4.517,2890.4
0.11,0.033074,9.01,23.07,0.45,4.1,2059.8
0.107,0.032121,8.68,22.08,0.504,4.723,2392
0.113,0.033866,9.21,23.21,0.49,4.359,2458.5
0.124,0.037307,10.45,24.88,0.526,4.241,2790.7
0.102,0.03057,9.63,19.97,0.434,4.27,2790.7
0.101,0.030459,8.96,20.87,0.441,4.358,1827.2
0.1,0.030034,9.41,20.19,0.455,4.561,2624.6
0.103,0.030968,9.92,20.15,0.443,4.304,3322.3
0.114,0.034299,9.88,22.63,0.457,4.014,2325.6
0.115,0.034634,10.15,22.88,0.465,4.045,3289
0.109,0.032661,5.65,23.72,0.434,4.004,2292.4
0.11,0.033166,7.89,23.01,0.491,4.453,2392
0.115,0.034624,9.15,23.88,0.449,3.9,3023.3
0.128,0.038579,11.85,24.48,0.494,3.851,2491.7
0.106,0.031933,9.6,20.54,0.501,4.718,2591.4
0.11,0.033018,9.15,21.97,0.497,4.53,3122.9
0.114,0.034218,8.92,22.59,0.657,5.78,3953.5
0.108,0.03238,10.85,21.34,0.471,4.374,2691
0.109,0.032688,11.18,20.83,0.436,4.016,2192.7
0.105,0.031495,11.63,19.06,0.506,4.835,2558.1
0.115,0.034632,10.09,23.39,0.453,3.933,2790.7
0.102,0.03063,9.03,20.16,0.453,4.448,2558.1
0.112,0.033853,7.83,22.29,0.446,3.967,2890.4
0.121,0.036497,8.28,24.25,0.513,4.231,3488.4
0.108,0.032657,8.88,21.12,0.476,4.386,2425.2
0.11,0.03306,11.62,20.92,0.485,4.412,2990
0.112,0.033736,8.01,22.21,0.464,4.141,2624.6
0.108,0.032542,8.24,21.89,0.468,4.328,3222.6
0.103,0.030992,9.22,20.02,0.472,4.586,2259.1
0.106,0.031783,9.94,21.14,0.499,4.723,2890.4
0.131,0.039444,12.12,24.47,0.524,3.997,3322.3
0.11,0.033171,8.37,21.82,0.497,4.511,2225.9
0.112,0.033783,7.94,22.53,0.457,4.074,2956.8
0.106,0.031888,9.12,20.88,0.409,3.864,2425.2
0.104,0.03125,11.24,19.21,0.405,3.898,2990
0.122,0.03672,9.91,24.48,0.557,4.566,2790.7
0.112,0.033732,9.16,21.8,0.458,4.089,2624.6
0.114,0.034412,6.02,24.05,0.482,4.218,2425.2
0.1,0.030217,2.45,22.08,0.461,4.594,2059.8
0.111,0.033458,9.28,21.84,0.516,4.642,2524.9
0.1,0.030001,2.89,22.04,0.4,4.016,3355.5
0.107,0.032144,11.83,18.99,0.441,4.134,4252.5
0.125,0.037602,14.28,22.04,0.559,4.474,3787.4
0.137,0.041176,16.97,25.02,0.549,4.011,3621.3
0.133,0.039911,11.27,24.88,0.613,4.621,3421.9
0.134,0.040207,14.17,24.05,0.555,4.154,4518.3
0.141,0.042292,13.84,25.6,0.526,3.741,4717.6
0.135,0.04058,13.64,24.68,0.585,4.343,4019.9
0.147,0.044158,14.89,27.04,0.655,4.467,6146.2
0.135,0.040696,13.88,25.21,0.531,3.929,3887
0.143,0.042959,14.92,26.18,0.781,5.472,7541.5
0.148,0.044524,18.41,27.03,0.53,3.581,4485
0.136,0.040917,13.12,24.47,0.558,4.108,4451.8
0.142,0.042624,14.8,26.19,0.557,3.936,4717.6
0.134,0.040382,14.84,23.94,0.648,4.83,4086.4
0.145,0.043705,12.62,27.5,0.51,3.512,3222.6
0.144,0.043483,16.25,25.83,0.554,3.835,3720.9
0.144,0.04336,17.41,25.98,0.545,3.787,3621.3
0.147,0.04415,17.06,25.61,0.563,3.84,3953.5
0.141,0.042348,14.76,24.94,0.632,4.491,5880.4
0.146,0.043978,17.34,25.9,0.596,4.082,4119.6
0.149,0.044769,17.66,27.07,0.641,4.307,4352.2
0.141,0.042437,13.39,25.96,0.577,4.095,4584.7
0.146,0.044023,16.41,26.01,0.568,3.886,4717.6
0.149,0.044991,18.56,27.23,0.596,3.989,3986.7
0.149,0.044862,16.65,27.78,0.553,3.711,3720.9
