Vrms_current,Vrms,Irms,P,S,PF
0.0501,216.2,0.155,4.952,33.439,0.148
0.0507,219.7,0.156,6.528,34.365,0.19
0.0589,215.8,0.182,4.948,39.207,0.126
0.0584,225.5,0.18,8.47,40.667,0.208
0.0488,222.1,0.15,7.227,33.413,0.216
0.052,222.9,0.161,7.623,35.798,0.213
0.0551,223.7,0.17,7.705,38.051,0.202
0.0569,222.9,0.176,7.023,39.162,0.179
0.0597,217.2,0.184,5.038,39.988,0.126
0.0624,221.6,0.207,7.931,45.937,0.173
0.0512,230.8,0.158,7.132,36.487,0.195
0.0555,224.7,0.171,10.054,38.514,0.261
0.0542,230.7,0.167,6.393,38.603,0.166
0.0577,229.8,0.178,8.943,40.9,0.219
0.0537,224.7,0.166,9.339,37.218,0.251
0.0516,234.7,0.159,6.473,37.401,0.173
0.06,231.3,0.185,7.499,42.85,0.175
0.0525,231.6,0.162,5.687,37.507,0.152
0.055,228.9,0.17,7.345,38.853,0.189
0.0565,228.9,0.174,6.276,39.892,0.157
0.0516,223.9,0.159,8.573,35.661,0.24
0.0524,229.3,0.162,6.149,37.114,0.166
0.0521,224.9,0.161,7.887,36.166,0.218
0.0524,230.6,0.162,5.614,37.264,0.151
0.055,229.2,0.17,6.354,38.884,0.163
0.051,232.6,0.158,5.921,36.631,0.162
0.0517,227.5,0.16,6.593,36.31,0.182
0.0525,223.1,0.162,8.963,36.172,0.248
0.0542,229.8,0.167,5.444,38.457,0.142
0.0559,228.2,0.172,7.969,39.337,0.203
0.0532,229.8,0.164,5.329,37.723,0.141
0.0536,222.9,0.165,8.471,36.857,0.23
0.0533,227.4,0.164,7.461,37.396,0.2
0.0557,227.1,0.172,7.496,39.02,0.192
0.0542,224.4,0.167,8.424,37.548,0.224
0.0551,228,0.17,6.432,38.759,0.166
0.056,225.2,0.173,7.705,38.907,0.198
0.0544,224,0.168,7.892,37.639,0.21
0.055,228.4,0.17,5.905,38.754,0.152
0.0573,224.6,0.177,7.586,39.699,0.191
0.0554,228.5,0.171,6.856,39.041,0.176
0.0577,225.2,0.178,7.532,40.104,0.188
0.0556,227.1,0.172,7.319,38.969,0.188
0.057,226,0.176,7.268,39.725,0.183
0.0572,227.2,0.177,7.661,40.133,0.191
0.0552,229.5,0.17,5.885,39.125,0.15
0.0617,223.2,0.205,10.948,45.756,0.239
0.0541,230.3,0.167,6.033,38.435,0.157
0.0581,223.3,0.179,9.323,40.013,0.233
0.0576,230.4,0.178,7.572,40.984,0.185
0.0569,227.4,0.176,6.723,39.933,0.168
0.056,223.5,0.173,8.546,38.629,0.221
0.0554,228.2,0.171,6.537,39.01,0.168
0.0582,224.5,0.18,8.05,40.337,0.2
0.0585,224.3,0.18,7.763,40.473,0.192
0.0646,232.3,0.215,3.545,49.85,0.071
0.0616,229.7,0.205,8.176,46.996,0.174
0.0605,225.4,0.187,7.235,42.093,0.172
0.0562,230.5,0.174,6.032,40.003,0.151
0.0564,227.6,0.174,8.007,39.625,0.202
0.058,226.2,0.179,8.555,40.499,0.211
0.0575,229.1,0.177,6.749,40.654,0.166
0.0571,228.5,0.176,6.45,40.291,0.16
0.0573,226.9,0.177,7.179,40.115,0.179
0.0563,233.5,0.174,5.812,40.573,0.143
0.0566,229.8,0.175,6.028,40.145,0.15
0.0568,228.1,0.175,7.955,39.994,0.199
0.0554,231.9,0.171,6.17,39.628,0.156
0.057,224.1,0.176,9.1,39.44,0.231
0.057,228.7,0.176,7.296,40.256,0.181
0.0572,229.1,0.177,7.882,40.444,0.195
0.0558,231.5,0.172,7.744,39.852,0.194
0.057,228.8,0.176,7.079,40.278,0.176
0.0584,221.9,0.18,8.974,39.977,0.224
0.0569,228.7,0.176,5.324,40.169,0.133
0.0589,222.6,0.182,8.029,40.425,0.199
0.0563,224.8,0.174,8.191,39.032,0.21
0.0559,231.4,0.173,6.668,39.944,0.167
0.0561,225.5,0.173,7.841,39.05,0.201
0.0667,224.5,0.222,16.187,49.736,0.325
0.0567,227.9,0.175,6.108,39.861,0.153
0.0646,227.9,0.215,5.159,48.925,0.105
0.0516,221.6,0.159,8.547,35.294,0.242
0.0519,225.7,0.16,7.884,36.134,0.218
0.0522,220.7,0.161,8.619,35.586,0.242
0.051,228.2,0.157,5.68,35.923,0.158
0.0603,224.2,0.186,10.566,41.766,0.253
0.0526,222.6,0.162,7.575,36.157,0.21
0.0504,224.4,0.156,7.475,34.91,0.214
0.05,226.5,0.154,6.037,34.99,0.173
0.0539,221.5,0.166,8.274,36.851,0.225
0.0526,228.4,0.162,5.165,37.107,0.139
0.0506,226.7,0.156,6.933,35.434,0.196
0.0508,222.4,0.157,8.048,34.877,0.231
0.0507,225.3,0.156,7.191,35.245,0.204
0.0497,223.9,0.153,7.358,34.335,0.214
0.0522,221.8,0.161,8.065,35.743,0.226
0.0496,228.4,0.153,6.11,34.969,0.175
0.0509,222.4,0.157,8.327,34.927,0.238
0.0518,225.7,0.16,8.626,36.072,0.239
0.0518,228.7,0.16,5.492,36.586,0.15
0.052,223,0.16,8.746,35.779,0.244
0.0591,223.2,0.183,6.749,40.731,0.166
0.0505,228.4,0.156,6.148,35.586,0.173
0.0506,225.5,0.156,7.393,35.2,0.21
0.0514,223.1,0.159,7.653,35.408,0.216
0.0486,227.6,0.15,6.65,34.105,0.195
0.0505,226.9,0.156,6.704,35.373,0.19
0.0539,227.3,0.166,9.451,37.804,0.25
0.0499,230.3,0.154,5.791,35.453,0.163
0.0522,222.9,0.161,8.533,35.927,0.238
0.0563,226.7,0.174,8.427,39.4,0.214
0.0568,226.6,0.175,6.184,39.694,0.156
0.0544,224.8,0.168,7.769,37.729,0.206
0.0521,222.8,0.161,8.529,35.836,0.238
0.0497,228.8,0.153,6.6,35.101,0.188
0.0541,222.8,0.167,8.447,37.187,0.227
0.049,228.8,0.151,6.652,34.623,0.192
0.0541,233.9,0.167,4.168,39.064,0.107
0.0503,227.2,0.155,7.368,35.238,0.209
0.0511,226.7,0.158,7.231,35.719,0.202
0.0517,223.8,0.159,7.994,35.681,0.224
0.0515,229.1,0.159,7.2,36.386,0.198
0.0526,224.3,0.162,7.746,36.432,0.213
0.0524,226.1,0.162,7.719,36.572,0.211
0.0494,227.3,0.153,6.583,34.671,0.19
0.0516,225,0.159,7.762,35.799,0.217
0.0544,229.1,0.168,8.067,38.492,0.21
0.0564,219.4,0.174,10.624,38.213,0.278
0.0551,227.8,0.17,9.017,38.735,0.233
0.0586,221.9,0.181,13.187,40.145,0.328
0.0537,227.2,0.166,8.917,37.622,0.237
0.0523,223.9,0.162,8.909,36.176,0.246
0.0588,221.9,0.181,11.815,40.27,0.293
0.0576,224.3,0.178,10.885,39.861,0.273
0.0556,226,0.172,9.408,38.792,0.243
0.0559,220.9,0.173,10.62,38.137,0.278
0.052,226.1,0.16,7.126,36.257,0.197
0.0504,223,0.155,8.373,34.672,0.241
0.0501,224.5,0.155,8.413,34.688,0.243
0.0501,227.9,0.154,6.497,35.203,0.185
0.053,226.9,0.164,6.726,37.124,0.181
0.0508,227.1,0.157,6.984,35.584,0.196
0.0505,230.4,0.156,5.462,35.917,0.152
0.051,227.8,0.158,8.029,35.886,0.224
0.0558,225.8,0.172,8.468,38.927,0.218
0.0524,228,0.162,8.018,36.869,0.217
0.0544,226.7,0.168,8.785,38.083,0.231
0.0625,226.5,0.208,6.026,47.043,0.128
0.0545,229.5,0.168,8.573,38.624,0.222
0.0547,221.4,0.169,10.334,37.411,0.276
0.0566,228.4,0.175,8.811,39.932,0.221
0.0512,221.4,0.158,9.248,34.96,0.265
0.0574,228.8,0.177,9.937,40.555,0.245
0.0526,228.4,0.162,7.643,37.102,0.206
0.0531,222.4,0.164,8.897,36.426,0.244
0.0507,227.6,0.156,7.252,35.602,0.204
0.0563,225.4,0.174,10.232,39.195,0.261
0.0603,222,0.186,13.132,41.327,0.318
0.0569,228.6,0.175,9.746,40.11,0.243
0.063,227.7,0.209,13.268,47.698,0.278
0.0653,224.1,0.217,16.557,48.58,0.341
0.0574,223.4,0.177,9.233,39.614,0.233
0.0575,228.8,0.177,9.659,40.576,0.238
0.057,226.2,0.176,6.85,39.831,0.172
0.051,229,0.158,7.188,36.079,0.199
0.0518,227.8,0.16,6.724,36.397,0.185
0.0507,223.6,0.156,8.623,34.993,0.246
0.0502,230.2,0.155,6.083,35.656,0.171
0.0522,228.9,0.161,6.443,36.86,0.175
0.0506,223.5,0.156,8.766,34.882,0.251
0.0524,226.4,0.162,6.66,36.65,0.182
