Vrms_current,Vrms,Irms,P,S,PF
0.0517,213.3,0.16,7.139,34.046,0.21
0.0463,220.3,0.143,4.563,31.448,0.145
0.0457,217.5,0.141,5.33,30.676,0.174
0.0548,218.7,0.169,5.637,36.952,0.153
0.049,211.5,0.151,7.833,31.971,0.245
0.0493,211.1,0.152,8.041,32.121,0.25
0.0499,222.9,0.154,4.576,34.337,0.133
0.0481,225.7,0.148,5.019,33.492,0.15
0.0475,213.2,0.146,7.837,31.226,0.251
0.0497,219.6,0.153,5.337,33.659,0.159
0.0504,215,0.156,8.201,33.476,0.245
0.047,222.3,0.145,4.503,32.22,0.14
0.0506,212.7,0.156,7.65,33.195,0.23
0.0448,215.9,0.138,6.435,29.874,0.215
0.0468,221.9,0.144,3.927,32.044,0.123
0.0495,214.5,0.153,7.781,32.788,0.237
0.0455,220.5,0.14,5.238,30.944,0.169
0.0561,218.1,0.173,5.732,37.774,0.152
0.0449,218.3,0.138,6.1,30.232,0.202
0.0517,212.5,0.16,6.864,33.907,0.202
0.0479,221.9,0.148,5.206,32.812,0.159
0.0522,215.9,0.161,7.873,34.765,0.226
0.048,221.8,0.148,4.948,32.826,0.151
0.0529,229.5,0.163,5.809,37.449,0.155
0.0471,218.1,0.145,6.817,31.69,0.215
0.0506,213,0.156,8.34,33.234,0.251
0.048,229.7,0.148,4.246,34.005,0.125
0.0521,212.5,0.161,7.448,34.175,0.218
0.052,224.5,0.16,4.67,36.002,0.13
0.0506,216.2,0.156,8.626,33.782,0.255
0.0487,227.9,0.15,5.496,34.264,0.16
0.0513,214.9,0.158,7.197,34.043,0.211
0.0498,231.3,0.154,6.138,35.552,0.173
0.0478,215.2,0.147,8.364,31.719,0.264
0.0471,226,0.145,5.903,32.843,0.18
0.05,228.4,0.154,6.67,35.237,0.189
0.0505,218.7,0.156,6.906,34.075,0.203
0.0465,217.2,0.144,7.838,31.187,0.251
0.0494,228.1,0.152,6.378,34.75,0.184
0.053,230.3,0.163,6.77,37.64,0.18
0.0489,230.7,0.151,5.959,34.829,0.171
0.0524,224.7,0.162,7.893,36.367,0.217
0.0519,227.6,0.16,6.261,36.428,0.172
0.0494,226.5,0.152,7.549,34.503,0.219
0.0495,226.3,0.153,8.988,34.584,0.26
0.0519,227.6,0.16,8.895,36.48,0.244
0.0477,231.9,0.147,5.715,34.159,0.167
0.0491,225.8,0.152,8.436,34.253,0.246
0.0513,225.4,0.158,6.854,35.676,0.192
0.0506,222.7,0.156,5.587,34.805,0.161
0.0479,217.3,0.148,7.358,32.123,0.229
0.0502,218,0.155,7.746,33.81,0.229
0.0467,222.2,0.144,5.824,32.052,0.182
0.0513,220,0.158,6.9,34.852,0.198
0.0544,220.9,0.168,5.258,37.125,0.142
0.0465,222.1,0.143,5.594,31.868,0.176
0.0535,219.7,0.165,8.716,36.284,0.24
0.0551,228.1,0.17,1.985,38.803,0.051
0.0487,222.3,0.15,7.691,33.429,0.23
0.0498,221.3,0.154,6.036,33.999,0.178
0.0486,218.4,0.15,7.803,32.771,0.238
0.0497,222.6,0.153,5.71,34.138,0.167
0.0487,220.7,0.15,7.18,33.149,0.217
0.0502,218.4,0.155,7.148,33.847,0.211
0.0464,218.9,0.143,7.445,31.367,0.237
0.0503,221.2,0.155,7.957,34.373,0.231
0.0461,219.7,0.142,6.852,31.283,0.219
0.0506,218.6,0.156,6.637,34.147,0.194
0.0473,224.2,0.146,5.127,32.696,0.157
0.0512,216.5,0.158,7.641,34.233,0.223
